rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size
801–1000,National Taiwan Ocean UniversityTaiwan,8609,21.7,7%,,21.1,19.1,22.3,18.6,52.5,23.5,medium
801–1000,Nicolaus Copernicus University in ToruńPoland,21497,9.9,2%,70 : 30,17.3,19.2,8.9,20.9,32.9,24.2,large
801–1000,Niigata UniversityJapan,12522,8.1,4%,38 : 62,20.4,22.7,10.7,25.6,36.2,23.5,medium
801–1000,Northeastern UniversityChina,33348,15.1,4%,,20.4,21.7,22.7,9.2,98.9,24.3,large
801–1000,Northwest UniversityChina,22167,15.0,2%,56 : 44,21.0,19.4,11.6,31.8,38.2,16.4,large
801–1000,NorthWest A&F UniversityChina,30722,16.7,1%,,19.8,20.6,11.2,25.8,40.0,20.5,large
801–1000,Novosibirsk State Technical UniversityRussian Federation,11126,10.7,16%,45 : 55,19.3,22.5,10.6,20.6,35.8,30.4,medium
801–1000,Oakland UniversityUnited States,15401,19.0,3%,59 : 41,20.1,19.6,12.3,26.0,32.8,25.2,large
801–1000,Ocean University of ChinaChina,35410,19.4,1%,,20.9,21.0,13.6,26.1,50.9,18.8,large
801–1000,Osaka Prefecture UniversityJapan,7931,7.4,3%,35 : 65,18.7,23.8,12.3,17.9,39.2,20.5,medium
801–1000,Osmania UniversityIndia,12017,15.5,3%,29 : 71,19.0,33.9,8.4,14.5,32.0,15.1,medium
801–1000,University of OstravaCzech Republic,10062,21.5,7%,69 : 31,19.2,16.0,11.4,24.1,31.9,39.4,medium
801–1000,University of PardubiceCzech Republic,8487,15.7,3%,55 : 45,16.4,18.4,13.4,14.2,32.4,23.9,medium
801–1000,Paris Nanterre UniversityFrance,33635,35.7,16%,63 : 37,20.3,21.3,12.9,18.7,31.7,48.2,large
801–1000,Pondicherry UniversityIndia,6278,17.3,1%,42 : 58,18.8,35.3,10.1,11.3,31.8,13.8,medium
801–1000,Pontifical Catholic University of ParanáBrazil,26022,23.3,1%,53 : 47,18.6,17.1,8.6,27.7,34.5,23.0,large
801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS)Brazil,20944,23.6,1%,51 : 49,21.3,22.7,12.6,25.7,45.4,25.0,large
801–1000,Pontifical Catholic University of ValparaísoChile,14953,23.1,1%,43 : 57,17.9,17.4,12.9,13.2,49.0,47.7,medium
801–1000,Prince of Songkla UniversityThailand,42751,18.3,1%,70 : 30,16.7,16.4,8.1,20.3,34.0,32.2,large
801–1000,Riga Technical UniversityLatvia,11119,27.3,9%,33 : 67,16.7,18.3,11.3,14.8,39.0,32.7,medium
801–1000,Rio de Janeiro State University (UERJ)Brazil,25811,9.9,,48 : 52,15.7,21.4,9.9,12.8,40.4,19.7,large
801–1000,Ritsumeikan UniversityJapan,35228,14.5,4%,35 : 65,15.7,18.6,9.0,13.9,32.7,31.8,large
801–1000,Robert Gordon UniversityUnited Kingdom,9617,18.3,24%,60 : 40,19.1,16.9,9.8,17.2,33.0,68.3,medium
801–1000,Saga UniversityJapan,7015,10.3,3%,38 : 62,17.9,21.1,11.3,17.8,48.1,22.3,medium
801–1000,Saitama UniversityJapan,8808,13.9,5%,32 : 68,19.6,19.0,11.7,24.9,33.0,27.7,medium
801–1000,Saitama Medical UniversityJapan,1874,1.5,,53 : 47,16.9,23.7,7.8,18.3,36.3,14.3,small
801–1000,"University of Santiago, Chile (USACH)Chile",23401,21.0,1%,40 : 60,15.7,17.4,10.0,12.1,32.4,40.9,large
801–1000,Seoul National University of Science and Technology (SeoulTech)South Korea,12471,16.6,2%,33 : 67,19.6,25.3,18.9,13.7,36.2,18.2,medium
801–1000,Shaanxi Normal UniversityChina,26388,14.2,3%,72 : 28,19.5,18.3,9.6,29.5,36.2,18.2,large
801–1000,Shahid Beheshti UniversityIran,17113,22.6,1%,52 : 48,20.6,21.8,19.8,19.1,46.7,16.4,large
801–1000,University of SharjahUnited Arab Emirates,13300,23.6,61%,65 : 35,21.4,18.1,8.9,16.5,36.3,99.3,medium
801–1000,Sheffield Hallam UniversityUnited Kingdom,24627,16.3,14%,54 : 46,20.7,18.3,10.8,24.9,32.1,48.8,large
801–1000,Shiga University of Medical ScienceJapan,1134,3.0,2%,51 : 49,21.2,24.8,9.4,27.7,40.9,21.0,small
801–1000,Shimane UniversityJapan,6122,8.0,2%,37 : 63,15.5,21.8,10.0,12.6,34.4,18.2,medium
801–1000,Shinshu UniversityJapan,10944,10.3,2%,32 : 68,20.1,21.3,8.9,28.0,40.0,22.5,medium
801–1000,Shiraz UniversityIran,12879,19.3,1%,49 : 51,20.9,22.9,20.5,18.4,45.3,16.6,medium
801–1000,Shizuoka UniversityJapan,10032,14.1,3%,29 : 71,15.6,19.1,12.5,11.4,36.1,24.3,medium
801–1000,Showa UniversityJapan,3747,2.4,1%,58 : 42,16.8,27.1,8.8,13.2,34.7,15.9,small
801–1000,University of Silesia in KatowicePoland,26470,14.1,2%,68 : 32,16.5,18.5,7.8,20.4,31.8,22.9,large
801–1000,Simón Bolívar UniversityVenezuela,9731,12.1,,44 : 56,16.3,19.0,6.3,14.9,46.7,41.6,medium
801–1000,Slovak University of Technology in BratislavaSlovakia,15749,14.8,2%,33 : 67,16.7,21.6,13.2,11.5,34.7,26.5,large
801–1000,Sophia UniversityJapan,12907,23.6,8%,54 : 46,17.2,23.6,10.7,11.2,32.6,37.1,medium
801–1000,University of South AfricaSouth Africa,184432,89.6,12%,66 : 34,16.4,18.3,10.8,13.5,32.3,37.5,large
801–1000,Southern Federal UniversityRussian Federation,20148,7.4,7%,53 : 47,16.4,22.4,8.2,14.8,39.2,23.4,large
801–1000,University of Southern MississippiUnited States,13576,18.2,3%,64 : 36,19.3,20.4,9.2,25.1,48.8,22.4,medium
801–1000,South Valley UniversityEgypt,52098,60.8,1%,50 : 50,16.1,14.7,6.5,18.7,31.7,44.5,large
801–1000,Sri Venkateswara UniversityIndia,7663,14.1,,33 : 67,21.3,34.0,9.4,20.2,32.5,18.5,medium
801–1000,State University of Ponta GrossaBrazil,8219,8.6,1%,55 : 45,17.3,20.1,17.8,13.2,31.7,15.5,medium
801–1000,Suez Canal UniversityEgypt,33846,12.7,1%,58 : 42,20.5,18.2,7.0,31.9,0.5,45.4,large
801–1000,Sultan Qaboos UniversityOman,7623,8.0,3%,50 : 50,20.9,22.2,10.0,15.7,47.9,71.4,medium
801–1000,University of TalcaChile,10532,24.6,1%,51 : 49,17.8,15.7,10.4,20.7,1.0,49.2,medium
801–1000,Taras Shevchenko National University of KyivUkraine,22152,8.7,4%,62 : 38,16.8,27.3,10.1,7.6,32.5,33.5,large
801–1000,Technical University of KošiceSlovakia,9714,12.3,3%,30 : 70,19.7,21.4,12.4,23.5,41.9,19.5,medium
801–1000,Universiti Tenaga Nasional (UNITEN)Malaysia,8231,22.1,7%,41 : 59,21.4,17.1,11.7,28.6,73.4,30.7,medium
801–1000,Texas State UniversityUnited States,30054,20.4,1%,57 : 43,19.6,21.2,12.0,25.2,32.6,17.5,large
801–1000,Thapar UniversityIndia,5576,14.3,1%,29 : 71,18.4,19.1,7.7,28.5,32.1,13.4,medium
801–1000,University of TlemcenAlgeria,42407,23.8,1%,67 : 33,16.0,27.9,8.0,4.8,31.9,40.0,large
801–1000,TOBB University of Economics and TechnologyTurkey,5053,16.0,1%,45 : 55,19.9,15.6,10.2,31.1,32.4,26.9,medium
801–1000,Tokai UniversityJapan,30061,12.8,2%,27 : 73,16.2,19.6,8.3,17.5,34.3,22.9,large
801–1000,Tokushima UniversityJapan,7543,8.6,3%,34 : 66,20.3,23.7,18.1,16.0,55.8,20.4,medium
801–1000,Tokyo University of Marine Science and TechnologyJapan,2660,11.1,7%,33 : 67,17.9,23.8,12.8,11.6,50.9,28.6,small
801–1000,Tomas Bata University in ZlínCzech Republic,9263,21.2,9%,59 : 41,16.7,17.9,13.0,13.4,33.6,33.6,medium
801–1000,University of ToyamaJapan,9326,11.4,4%,39 : 61,17.8,20.5,11.6,17.2,39.9,26.2,medium
801–1000,Toyohashi University of Technology (TUT)Japan,2350,9.9,7%,9 : 91,19.1,21.1,16.7,16.1,46.1,24.2,small
801–1000,University of ValparaísoChile,15654,17.4,3%,57 : 43,17.3,15.9,8.2,19.2,32.1,46.3,large
801–1000,VIT UniversityIndia,30473,18.1,3%,25 : 75,17.9,17.8,8.9,24.5,33.0,22.6,large
801–1000,VŠB - Technical University of OstravaCzech Republic,18270,23.4,8%,,16.6,18.6,13.1,12.8,39.5,30.4,large
801–1000,University of West BohemiaCzech Republic,12991,18.7,3%,51 : 49,16.0,18.5,11.8,13.6,35.7,26.4,medium
801–1000,West University of TimişoaraRomania,13524,17.0,4%,65 : 35,19.4,20.1,7.8,26.3,31.8,30.7,medium
801–1000,University of WrocławPoland,23852,12.9,3%,,20.3,20.1,10.9,25.8,33.8,32.5,large
801–1000,Wuhan University of TechnologyChina,50876,14.6,3%,31 : 69,18.7,19.0,11.2,22.9,54.8,19.0,large
801–1000,Xiangtan UniversityChina,30810,21.2,1%,53 : 47,20.5,15.3,10.6,35.6,36.2,15.9,large
801–1000,Xidian UniversityChina,32722,16.6,2%,29 : 71,18.1,19.7,13.9,16.4,75.8,16.5,large
801–1000,Yamagata UniversityJapan,8961,8.2,1%,35 : 65,19.1,21.0,10.3,23.2,49.9,20.3,medium
801–1000,Yamaguchi UniversityJapan,10639,11.0,4%,35 : 65,15.8,21.8,9.3,12.6,38.9,22.3,medium
801–1000,University of YamanashiJapan,4777,6.7,4%,30 : 70,19.4,24.2,10.5,21.7,34.4,21.2,small
801–1000,Yıldız Technical UniversityTurkey,35670,28.5,4%,38 : 62,18.5,18.7,7.7,26.6,42.6,20.5,large
801–1000,Yokohama National UniversityJapan,9968,12.8,7%,28 : 72,20.7,22.8,21.8,14.6,45.5,24.2,medium
801–1000,Yuan Ze UniversityTaiwan,8652,20.9,6%,42 : 58,20.8,18.8,15.0,25.9,47.1,22.6,medium
801–1000,University of ZagrebCroatia,73465,17.4,1%,55 : 45,18.9,21.0,11.1,20.3,41.6,28.5,large
1001+,Akita UniversityJapan,5127,8.8,3%,35 : 65,14.4,21.9,9.1,9.2,35.1,19.0,medium
1001+,Alzahra UniversityIran,10637,31.2,,100 : 0,14.3,18.0,9.2,14.3,33.3,13.8,medium
1001+,Amity UniversityIndia,25607,15.0,4%,43 : 57,13.4,16.7,7.6,13.2,32.7,17.9,large
1001+,Anadolu UniversityTurkey,1824383,864.6,1%,41 : 59,13.7,13.8,9.7,15.5,32.3,15.9,large
1001+,"University of the Andes, VenezuelaVenezuela",52972,21.2,,61 : 39,14.6,16.4,7.5,11.3,31.7,43.2,large
1001+,Ankara UniversityTurkey,65703,17.0,4%,53 : 47,14.1,18.9,8.9,11.4,32.4,20.8,large
1001+,Autonomous University of Baja CaliforniaMexico,59539,20.4,2%,52 : 48,11.4,14.7,7.8,5.5,32.6,29.4,large
1001+,Autonomous University of Hidalgo State (UAEH)Mexico,32210,17.7,,57 : 43,10.5,17.0,7.0,3.0,33.8,21.2,large
1001+,Autonomous University of Nuevo LeónMexico,96916,26.0,1%,,12.9,14.9,6.8,11.3,32.7,29.1,large
1001+,Autonomous University of PueblaMexico,70345,34.9,,53 : 47,13.3,15.5,7.2,11.6,34.6,28.5,large
1001+,Autonomous University of the State of MexicoMexico,55667,22.2,,55 : 45,12.5,16.4,7.7,8.8,32.0,25.0,large
1001+,Autonomous University of YucatánMexico,12208,12.4,,48 : 52,14.7,15.6,8.3,15.1,32.8,28.5,medium
1001+,Bahauddin Zakariya UniversityPakistan,24069,32.9,,47 : 53,15.2,14.9,10.4,18.2,0.1,28.8,large
1001+,University of BirjandIran,11284,33.5,1%,53 : 47,11.4,15.5,7.6,8.7,32.0,14.6,medium
1001+,Bogor Agricultural UniversityIndonesia,22718,15.8,1%,57 : 43,15.3,18.4,8.7,8.9,68.2,36.6,large
1001+,Chaoyang University of TechnologyTaiwan,17235,43.3,7%,57 : 43,11.8,13.5,11.2,6.1,39.7,20.6,large
1001+,Chiba Institute of TechnologyJapan,9668,31.0,1%,11 : 89,11.2,15.0,8.2,7.4,34.0,15.6,medium
1001+,University of DhakaBangladesh,63010,6.8,5%,39 : 61,14.8,20.4,6.8,9.0,31.7,41.9,large
1001+,Dokuz Eylül UniversityTurkey,58134,17.6,2%,55 : 45,13.5,16.1,7.6,14.5,32.8,16.9,large
1001+,Doshisha UniversityJapan,29220,23.8,3%,39 : 61,11.4,16.4,6.4,6.2,33.4,24.2,large
1001+,Far Eastern Federal UniversityRussian Federation,15764,8.3,14%,,15.1,21.2,9.6,7.9,36.2,33.8,large
1001+,Federal University of GoiásBrazil,27514,10.2,,45 : 55,14.0,18.7,7.3,13.6,31.7,17.6,large
1001+,Federal University of LavrasBrazil,12168,17.6,1%,52 : 48,15.1,25.1,11.3,7.0,33.7,17.1,medium
1001+,Federal University of Ouro PretoBrazil,15380,15.7,,52 : 48,14.3,16.6,5.5,18.0,32.4,19.5,large
1001+,Federal University of Paraná (UFPR)Brazil,33820,13.6,1%,47 : 53,12.6,19.6,5.3,9.2,31.7,20.4,large
1001+,Federal University of Santa MariaBrazil,25751,13.5,,,13.0,22.3,5.1,9.3,33.3,15.8,large
1001+,Federal University of ViçosaBrazil,16752,13.8,3%,52 : 48,15.3,25.8,7.4,8.7,50.3,19.1,large
1001+,Fluminense Federal UniversityBrazil,61662,18.1,,49 : 51,14.2,17.8,8.6,12.2,32.0,24.1,large
1001+,University of FukuiJapan,4980,9.1,4%,28 : 72,14.2,20.5,10.2,8.4,37.2,20.3,small
1001+,Gazi UniversityTurkey,78021,28.2,3%,49 : 51,13.8,18.8,9.1,11.2,36.2,15.7,large
1001+,"G.B. Pant University of Agriculture & Technology, PantnagarIndia",4567,8.2,,46 : 54,11.3,22.3,7.3,2.2,32.3,12.5,small
1001+,University of GdańskPoland,28397,17.4,1%,69 : 31,15.4,17.5,9.3,14.8,32.2,28.8,large
1001+,GITAM UniversityIndia,14822,16.3,1%,27 : 73,11.5,16.0,6.7,9.6,31.9,13.7,medium
1001+,Government College University LahorePakistan,8526,19.3,1%,43 : 57,11.5,17.5,7.9,4.0,0.0,35.3,medium
1001+,University of GuadalajaraMexico,118665,54.0,,51 : 49,11.4,16.8,3.0,8.4,31.7,28.9,large
1001+,Guangxi UniversityChina,33970,15.8,5%,46 : 54,12.5,16.0,8.8,9.1,35.6,19.3,large
1001+,Hashemite UniversityJordan,24958,25.7,4%,62 : 38,12.9,11.1,7.9,9.7,31.7,46.1,large
1001+,University of HyogoJapan,6682,14.1,2%,38 : 62,13.9,17.1,11.6,10.2,38.1,16.9,medium
1001+,Ibaraki UniversityJapan,8113,14.0,3%,35 : 65,12.8,17.4,5.4,11.2,36.1,22.6,medium
1001+,Ivane Javakhishvili Tbilisi State UniversityGeorgia,21866,28.5,2%,62 : 38,12.2,16.2,8.7,2.7,32.2,40.9,large
1001+,Ivan Franko National University of LvivUkraine,18632,11.3,1%,68 : 32,10.9,20.2,3.1,3.7,1.4,36.4,large
1001+,Jawaharlal Nehru Technological University Anantapur (JNTUA)India,4621,13.6,,39 : 61,13.3,23.6,9.7,5.3,32.5,12.7,small
1001+,Kanagawa UniversityJapan,18467,39.4,3%,28 : 72,14.0,15.0,8.6,14.3,31.7,24.0,large
1001+,Kansai UniversityJapan,30211,11.5,2%,39 : 61,13.5,23.8,7.3,5.9,32.9,21.2,large
1001+,Kaunas University of TechnologyLithuania,10439,13.8,6%,39 : 61,12.6,18.1,11.7,3.3,35.7,23.7,medium
1001+,King Mongkut's University of Technology North BangkokThailand,25640,24.4,,38 : 62,14.4,18.4,7.6,13.8,33.0,21.2,large
1001+,Kogakuin UniversityJapan,6506,20.5,1%,13 : 87,12.7,17.0,8.2,9.5,37.7,18.3,medium
1001+,Kwansei Gakuin UniversityJapan,24410,15.2,4%,47 : 53,11.8,16.2,7.1,7.0,32.4,25.0,large
1001+,University of LahorePakistan,27872,16.2,2%,29 : 71,14.2,15.0,7.0,14.1,31.7,34.2,large
1001+,University of ŁódźPoland,35088,15.9,3%,66 : 34,14.7,17.4,9.5,13.8,31.9,23.0,large
1001+,Łodz University of TechnologyPoland,19984,15.2,2%,,14.4,17.0,10.4,12.8,36.4,19.4,large
1001+,Londrina State UniversityBrazil,16461,9.8,,57 : 43,15.2,23.8,9.4,10.6,31.8,16.3,large
1001+,Lviv Polytechnic National UniversityUkraine,28691,12.2,1%,,11.5,18.2,7.6,3.7,31.8,25.0,large
1001+,Maharaja Sayajirao University of BarodaIndia,29624,29.1,,56 : 44,12.5,14.5,7.5,13.6,32.2,13.3,large
1001+,Manipal UniversityIndia,24705,9.8,9%,43 : 57,12.8,20.7,9.4,3.5,31.9,25.6,large
1001+,Meijo UniversityJapan,15485,31.9,2%,27 : 73,12.6,15.4,8.1,10.2,33.1,21.8,large
1001+,Ming Chuan UniversityTaiwan,18843,22.2,11%,60 : 40,12.8,15.3,10.2,7.7,32.4,27.0,large
1001+,University of MonastirTunisia,23637,12.4,1%,67 : 33,14.2,17.5,7.3,9.6,31.7,40.9,large
1001+,University of MysoreIndia,8535,20.1,9%,34 : 66,14.7,28.5,7.7,2.9,31.9,28.4,medium
1001+,National Chiayi UniversityTaiwan,12750,26.6,4%,48 : 52,12.9,14.6,11.0,7.8,65.0,16.6,medium
1001+,National University of KaohsiungTaiwan,5416,23.3,3%,40 : 60,14.5,15.1,15.9,8.9,35.8,21.7,medium
1001+,National Polytechnic University (IPN)Mexico,173868,10.3,,39 : 61,13.9,19.9,8.8,9.7,32.9,21.2,large
1001+,National Research University of Electronic Technology (MIET)Russian Federation,4318,10.8,2%,31 : 69,13.8,18.5,14.9,4.1,33.8,23.3,small
1001+,National Technical University of Ukraine – Kyiv Polytechnic InstituteUkraine,21601,8.3,1%,32 : 68,11.8,22.0,8.2,1.9,32.6,18.2,large
1001+,Oita UniversityJapan,5793,7.2,2%,37 : 63,14.3,21.0,7.6,11.8,33.5,17.8,medium
1001+,Ondokuz Mayis UniversityTurkey,42911,18.8,4%,56 : 44,10.6,16.7,7.3,4.3,33.2,16.8,large
1001+,Perm State UniversityRussian Federation,12371,13.1,1%,63 : 37,11.7,18.0,9.5,3.9,36.7,17.9,medium
1001+,University of PeshawarPakistan,7900,14.9,1%,42 : 58,14.2,23.4,7.5,6.8,31.7,27.8,medium
1001+,PMAS Arid Agriculture University RawalpindiPakistan,9957,40.5,,39 : 61,13.9,17.9,9.0,9.8,31.7,28.3,medium
1001+,PSG College of TechnologyIndia,8490,14.7,,38 : 62,11.4,16.6,8.4,7.2,32.2,12.8,medium
1001+,RUDN UniversityRussian Federation,16215,9.4,32%,67 : 33,15.2,21.2,9.5,5.6,35.3,45.1,large
1001+,SASTRA UniversityIndia,13147,18.9,,50 : 50,13.6,16.2,8.2,15.0,32.4,12.6,medium
1001+,Sathyabama UniversityIndia,17861,22.1,1%,51 : 49,9.9,17.0,7.9,2.1,32.2,13.3,large
1001+,Sechenov UniversityRussian Federation,16128,9.0,10%,58 : 42,12.4,23.4,8.4,0.8,33.8,23.9,large
1001+,Shanghai Maritime UniversityChina,23552,18.8,3%,37 : 63,15.0,15.2,8.1,16.8,33.8,28.8,large
1001+,Shibaura Institute of Technology TokyoJapan,9911,17.7,4%,15 : 85,12.6,17.1,8.5,8.4,35.1,20.6,medium
1001+,Siberian Federal UniversityRussian Federation,28008,11.3,1%,47 : 53,12.5,19.6,9.0,6.2,35.8,16.0,large
1001+,Sidi Mohamed Ben Abdellah UniversityMorocco,82558,58.3,2%,45 : 55,14.9,25.6,6.3,9.7,31.8,22.0,large
1001+,University of the Sinos ValleyBrazil,14412,20.9,1%,52 : 48,14.4,23.0,12.0,5.6,33.2,17.9,medium
1001+,Sofia UniversityBulgaria,23956,13.7,4%,65 : 35,14.9,19.6,8.6,9.0,33.0,39.2,large
1001+,Southwest Jiaotong UniversityChina,40819,15.3,2%,26 : 74,15.3,18.6,12.0,9.0,76.0,20.2,large
1001+,SRM UniversityIndia,42886,15.3,2%,23 : 77,11.8,16.4,7.3,8.9,31.9,15.9,large
1001+,State University of MaringáBrazil,23341,14.1,1%,59 : 41,12.2,18.8,9.3,6.0,32.0,15.2,large
1001+,State University of Western Paraná (Unioeste)Brazil,10791,5.0,,53 : 47,10.6,22.4,4.6,2.4,31.9,13.6,medium
1001+,Tamil Nadu Agricultural UniversityIndia,5780,7.1,,62 : 38,12.9,24.9,8.8,2.8,35.3,14.8,medium
1001+,Tamkang UniversityTaiwan,27060,24.0,6%,48 : 52,13.6,16.0,11.1,9.3,33.5,25.0,large
1001+,Technical University of LiberecCzech Republic,6129,12.1,9%,54 : 46,13.3,18.5,10.2,4.7,37.1,30.9,medium
1001+,Tokyo City UniversityJapan,7904,15.6,1%,22 : 78,14.2,18.5,9.6,11.5,39.3,18.4,medium
1001+,Tokyo Denki UniversityJapan,9400,25.7,2%,10 : 90,9.2,15.5,7.9,2.9,0.6,17.0,medium
1001+,Tottori UniversityJapan,6165,8.0,2%,36 : 64,14.6,22.4,8.1,10.8,32.8,18.3,medium
1001+,Toyo UniversityJapan,30142,33.5,1%,41 : 59,12.3,15.7,9.3,8.1,32.7,21.2,large
1001+,University of Tunis El ManarTunisia,30301,16.7,1%,76 : 24,15.5,22.7,9.3,7.3,32.1,38.3,large
1001+,Ural Federal UniversityRussian Federation,24917,9.8,7%,46 : 54,15.0,22.3,11.9,5.8,38.4,27.8,large
1001+,Universiti Utara MalaysiaMalaysia,14315,13.0,18%,73 : 27,15.4,24.2,10.3,2.9,32.2,45.3,medium
1001+,Utsunomiya UniversityJapan,4928,14.5,4%,36 : 64,13.0,18.5,9.2,7.2,33.2,22.0,small
1001+,"University of Veterinary and Animal Sciences, LahorePakistan",5003,28.6,,45 : 55,11.8,15.7,9.1,4.4,35.1,29.3,medium
1001+,V.N. Karazin Kharkiv National UniversityUkraine,16067,9.8,27%,53 : 47,14.3,21.3,7.9,3.1,32.0,51.4,large
1001+,Volgograd State Technical UniversityRussian Federation,9254,12.0,6%,,10.3,17.7,6.9,2.0,41.5,17.7,medium
1001+,Voronezh State UniversityRussian Federation,15468,10.1,9%,58 : 42,11.6,20.8,7.1,1.9,33.2,24.4,large
1001+,Yazd UniversityIran,13600,23.9,,56 : 44,13.0,14.6,9.9,14.8,0.4,15.5,medium
1001+,Yeditepe UniversityTurkey,23260,25.1,1%,52 : 48,11.7,15.4,8.0,9.7,0.2,23.4,large
1001+,University of ZanjanIran,10305,25.8,,55 : 45,14.6,16.2,9.4,15.7,38.3,17.3,medium
